PERIOD_BEGIN,PERIOD_END,PERIOD_DURATION,REGION_TYPE,REGION_TYPE_ID,TABLE_ID,IS_SEASONALLY_ADJUSTED,REGION,CITY,STATE,STATE_CODE,PROPERTY_TYPE,PROPERTY_TYPE_ID,MEDIAN_SALE_PRICE,MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_YOY,MEDIAN_LIST_PRICE,MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PRICE_YOY,MEDIAN_PPSF,MEDIAN_PPSF_MOM,MEDIAN_PPSF_YOY,MEDIAN_LIST_PPSF,MEDIAN_LIST_PPSF_MOM,MEDIAN_LIST_PPSF_YOY,HOMES_SOLD,HOMES_SOLD_MOM,HOMES_SOLD_YOY,PENDING_SALES,PENDING_SALES_MOM,PENDING_SALES_YOY,NEW_LISTINGS,NEW_LISTINGS_MOM,NEW_LISTINGS_YOY,INVENTORY,INVENTORY_MOM,INVENTORY_YOY,MONTHS_OF_SUPPLY,MONTHS_OF_SUPPLY_MOM,MONTHS_OF_SUPPLY_YOY,MEDIAN_DOM,MEDIAN_DOM_MOM,MEDIAN_DOM_YOY,AVG_SALE_TO_LIST,AVG_SALE_TO_LIST_MOM,AVG_SALE_TO_LIST_YOY,SOLD_ABOVE_LIST,SOLD_ABOVE_LIST_MOM,SOLD_ABOVE_LIST_YOY,PRICE_DROPS,PRICE_DROPS_MOM,PRICE_DROPS_YOY,OFF_MARKET_IN_TWO_WEEKS,OFF_MARKET_IN_TWO_WEEKS_MOM,OFF_MARKET_IN_TWO_WEEKS_YOY,PARENT_METRO_REGION,PARENT_METRO_REGION_METRO_CODE,LAST_UPDATED,Id
2020-07-01,2020-09-30,90,neighborhood,1,154428,0,"Oklahoma City, OK - Jackson",Oklahoma City,Oklahoma,OK,Single Family Residential,6,92500.0000,0.5040650407,2.7,68500.0000,0.01481481481,-0.08605737158,78.8001,0.3390296248,1.984182833,83.9310,0.1903232281,-0.04799354142,4,0.0000,1.0000,3,0.0000,0.5000,4,0.0000,1.0000,3,-0.25,2.0000,NULL,NULL,NULL,55.5000,-1,34.5000,0.9336,-0.008890126206,0.2564259895,0.2500,0,0.25,NULL,NULL,NULL,0.3333,-0.3333333333,-0.1666666667,"Oklahoma City, OK",36420,2025-08-01 14:37:32.7980000 +00:00,9407
2017-05-01,2017-07-31,90,neighborhood,1,55701,0,"Miami Beach, FL - North Shore",Miami Beach,Florida,FL,Single Family Residential,6,3010000.0000,-0.009868421053,NULL,4587500.0000,0,NULL,1066.9379,-0.01155450376,NULL,1246.0613,0,NULL,2,0.0000,NULL,1,-0.5000,NULL,2,0.0000,NULL,2,0,NULL,NULL,NULL,NULL,163.0000,69,NULL,0.8806,-0.02815022815,NULL,0.0000,0,NULL,NULL,NULL,NULL,0.0000,0,NULL,"Miami, FL",33124,2025-08-01 14:37:32.7980000 +00:00,9408
2021-03-01,2021-05-31,90,neighborhood,1,762062,0,"Bismarck, ND - Park Hill",Bismarck,North Dakota,ND,All Residential,-1,167880.0000,0.0648905804,0.01899848255,248500.0000,0.308583465,0.9497842291,115.0000,-0.03177878663,0.09924693287,108.2974,0.007696470063,-0.006262589287,9,0.1250,3.5000,9,0.1250,3.5000,6,-0.3333,-0.2500,8,0,-0.1111,NULL,NULL,NULL,65.0000,1,-35.0000,1.0003,-0.008272271037,0.002895309127,0.3333,-0.04166666667,-0.1666666667,NULL,NULL,NULL,0.0000,0,0,"Bismarck, ND",13900,2025-08-01 14:37:32.7980000 +00:00,9409
2013-02-01,2013-04-30,90,neighborhood,1,760675,0,"Wichita, KS - South Area",Wichita,Kansas,KS,Single Family Residential,6,85800.0000,-0.02389078498,0.2084507042,99500.0000,-0.004004004004,0.2453066333,55.2835,-0.009597152134,0.2988763932,58.0842,-0.004271476032,0.1255719432,17,0.0625,-0.2917,17,0.0625,-0.2917,15,-0.1176,-0.4000,31,0,-0.0606,NULL,NULL,NULL,178.0000,40.5,79.0000,0.9742,0.009124436224,0.014718766,0.2941,0.04411764706,0.1274509804,NULL,NULL,NULL,0.0000,0,0,"Wichita, KS",48620,2025-08-01 14:37:32.7980000 +00:00,9410
2023-08-01,2023-10-31,90,neighborhood,1,761934,0,"Wichita, KS - White Tail",Wichita,Kansas,KS,Townhouse,13,514000.0000,NULL,NULL,NULL,NULL,NULL,123.8853,NULL,NULL,NULL,NULL,NULL,1,0.0000,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.0000,NULL,NULL,0.9790,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,"Wichita, KS",48620,2025-08-01 14:37:32.7980000 +00:00,9411
2022-11-01,2023-01-31,90,neighborhood,1,764009,0,"Fort Mohave, AZ - Tierra Verde",Fort Mohave,Arizona,AZ,Single Family Residential,6,212000.0000,-0.01829127113,0.06,162000.0000,-0.2633015007,-0.1469194313,168.2479,-0.04801551698,0.2043007289,118.6813,-0.3201255887,-0.3402125154,5,-0.1667,0.6667,3,-0.4000,0.0000,1,-0.6667,-0.5000,NULL,NULL,NULL,NULL,NULL,NULL,87.0000,37.5,29.0000,0.9632,-0.007981154676,0.001436874432,0.0000,-0.1666666667,-0.3333333333,NULL,NULL,NULL,0.3333,-0.06666666667,0.3333333333,"Lake Havasu City, AZ",29420,2025-08-01 14:37:32.7980000 +00:00,9412
2019-10-01,2019-12-31,90,neighborhood,1,172074,0,"Dallas, TX - Ledbetter Gardens",Dallas,Texas,TX,All Residential,-1,169000.0000,-0.05056179775,-0.1105263158,154999.5000,-0.08284319527,-0.3094252618,147.2125,0.01156601654,0.1272720375,99.2538,-0.3257790189,-0.199669975,1,-0.5000,-0.6667,4,-0.2000,NULL,4,0.3333,0.0000,4,0,0.0000,NULL,NULL,NULL,53.0000,11,40.0000,1.0000,0.007635597683,0,0.0000,0,0,NULL,NULL,NULL,0.2500,0.05,NULL,"Dallas, TX",19124,2025-08-01 14:37:32.7980000 +00:00,9413
2015-09-01,2015-11-30,90,neighborhood,1,556680,0,"Enumclaw, WA - Central Enumclaw",Enumclaw,Washington,WA,All Residential,-1,265000.0000,0.06042416967,0.1622807018,271750.0000,-0.009115770283,0.1370292887,211.5385,0.2575864502,0.5299465733,171.5708,-0.05012049643,0.07171929961,7,0.4000,-0.6111,15,0.0714,-0.2500,14,-0.1250,0.2727,6,-0.3333333333,-0.2500,NULL,NULL,NULL,5.0000,-5,-28.0000,1.0020,-0.02671648147,0.004980922676,0.4286,0.02857142857,0.09523809524,NULL,NULL,NULL,0.5333,-0.0380952381,0.2833333333,"Seattle, WA",42644,2025-08-01 14:37:32.7980000 +00:00,9414
2021-09-01,2021-11-30,90,neighborhood,1,549684,0,"Virginia Beach, VA - Chic's Beach",Virginia Beach,Virginia,VA,Condo/Co-op,3,369900.0000,-0.07293233083,-0.2600520104,367900.0000,0,-0.3310909091,232.4806,0.005268012099,-0.1019241797,208.0825,0,-0.2522033534,17,0.1333,0.1333,11,-0.2667,0.1000,9,-0.4706,-0.1818,NULL,NULL,NULL,NULL,NULL,NULL,19.0000,-9,-27.0000,0.9964,0.009901470766,-0.004197318694,0.2353,0.03529411765,-0.03137254902,NULL,NULL,NULL,0.6364,-0.09696969697,-0.1636363636,"Virginia Beach, VA",47260,2025-08-01 14:37:32.7980000 +00:00,9415
2020-07-01,2020-09-30,90,neighborhood,1,349834,0,"Port Charlotte, FL - Section 36",Port Charlotte,Florida,FL,All Residential,-1,521000.0000,-0.2882513661,0.812173913,337250.0000,0.1633321835,NULL,173.1427,0,0.07017270507,196.5117,0.1598186865,NULL,4,0.3333,3.0000,6,0.2000,2.0000,4,-0.2000,NULL,3,-0.4,-0.2500,NULL,NULL,NULL,126.5000,44.5,112.5000,0.9687,-0.00883340794,-0.02297181926,0.0000,0,0,NULL,NULL,NULL,0.1667,-0.2333333333,0.1666666667,"Punta Gorda, FL",39460,2025-08-01 14:37:32.7980000 +00:00,9416
2014-02-01,2014-04-30,90,neighborhood,1,124783,0,"Albany, NY - Buckingham Lake-Crestwood",Albany,New York,NY,Condo/Co-op,3,214200.0000,-0.07737633742,-0.05736352234,199900.0000,0,-0.06979990693,173.5818,0.226924984,0.09432821332,161.9935,0,0.2370002858,1,-0.6667,-0.5000,1,-0.6667,-0.5000,4,1.0000,0.3333,1,0,-0.5000,NULL,NULL,NULL,6.0000,-71,-90.5000,1.0715,-0.006744052187,-0.008626626193,1.0000,0,0.5,NULL,NULL,NULL,0.0000,0,0,"Albany, NY",10580,2025-08-01 14:37:32.7980000 +00:00,9417
2021-07-01,2021-09-30,90,neighborhood,1,176779,0,"Fort Worth, TX - Jennings-May St. Louis",Fort Worth,Texas,TX,Single Family Residential,6,259500.0000,-0.07321428571,0.3951612903,255900.0000,0.04448979592,-0.4667639091,203.7347,0.1590239068,0.4896728641,143.6833,-0.0009689045477,0.06587337644,2,-0.3333,1.0000,2,0.0000,1.0000,1,-0.6667,0.0000,1,0,-0.6667,NULL,NULL,NULL,19.5000,-2.5,-44.5000,1.0354,0.0353653771,0.0559025019,0.5000,0.5,0.5,NULL,NULL,NULL,0.0000,0,0,"Fort Worth, TX",23104,2025-08-01 14:37:32.7980000 +00:00,9418
2024-08-01,2024-10-31,90,neighborhood,1,554844,0,"Pawtucket, RI - East Riverview",Pawtucket,Rhode Island,RI,Single Family Residential,6,395000.0000,0,0.2248062016,399900.0000,0,0.3334444815,336.1254,0,0.6318170852,343.2618,0,0.5543498763,2,0.0000,0.0000,1,-0.5000,-0.5000,1,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,34.0000,0,-3.0000,1.1231,0,0.1329019622,1.0000,0,0.5,NULL,NULL,NULL,1.0000,0.5,0.5,"Providence, RI",39300,2025-08-01 14:37:32.7980000 +00:00,9419
2018-07-01,2018-09-30,90,neighborhood,1,759880,0,"Ames, IA - Oak-Riverside",Ames,Iowa,IA,All Residential,-1,126000.0000,-0.05970149254,-0.2706222865,135000.0000,-0.03191107924,-0.1740593454,167.1088,0.02425954616,0.575560835,179.0451,0.05206783487,0.3825217413,3,-0.2500,-0.2500,3,-0.2500,-0.2500,3,-0.2500,-0.2500,1,0,-0.8000,NULL,NULL,NULL,41.0000,-5.5,-24.0000,0.9734,0.001516258053,-0.01635265075,0.0000,0,-0.5,NULL,NULL,NULL,0.0000,0,0,"Ames, IA",11180,2025-08-01 14:37:32.7980000 +00:00,9420
2018-03-01,2018-05-31,90,neighborhood,1,14314,0,"Mukilteo, WA - Harbour Pointe",Mukilteo,Washington,WA,Multi-Family (2-4 Unit),4,690000.0000,0,NULL,680000.0000,0,NULL,250.5447,0,NULL,246.9136,0,NULL,1,0.0000,NULL,1,0.0000,NULL,1,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.0000,0,NULL,1.0147,0,NULL,1.0000,0,NULL,NULL,NULL,NULL,1.0000,0,NULL,"Seattle, WA",42644,2025-08-01 14:37:32.7980000 +00:00,9421
2015-03-01,2015-05-31,90,neighborhood,1,100877,0,"Chandler, AZ - Arrowhead Meadows",Chandler,Arizona,AZ,Single Family Residential,6,190000.0000,-0.0404040404,0.3571428571,157400.0000,-0.04548211037,-0.0738452486,119.8001,0.1520168793,0.0867578199,138.5118,0.02140920169,0.315378196,4,0.3333,0.3333,6,0.5000,2.0000,4,0.3333,1.0000,NULL,NULL,NULL,NULL,NULL,NULL,96.5000,-49.5,73.5000,0.9959,-0.004054054054,0.03087779065,0.0000,0,0,NULL,NULL,NULL,0.5000,0,0.5,"Phoenix, AZ",38060,2025-08-01 14:37:32.7980000 +00:00,9422
2017-01-01,2017-03-31,90,neighborhood,1,304197,0,"Libertyville, IL - Red Top Farm of Libertyville",Libertyville,Illinois,IL,All Residential,-1,385000.0000,0,-0.07618476305,379000.0000,-0.08652687395,-0.1385384703,158.2409,0,-0.03406322618,176.7724,-0.1108111518,0.003482753255,1,0.0000,-0.7500,2,1.0000,-0.7778,7,2.5000,0.7500,7,1.333333333,0.7500,NULL,NULL,NULL,4.0000,0,-216.5000,1.0132,0,0.05690157756,1.0000,0,1,NULL,NULL,NULL,1.0000,0,0.7777777778,"Lake County, IL",29404,2025-08-01 14:37:32.7980000 +00:00,9423
2024-07-01,2024-09-30,90,neighborhood,1,175452,0,"Austin, TX - East Congress",Austin,Texas,TX,Single Family Residential,6,605000.0000,0.08520179372,0.3908045977,599500.0000,0.2756676242,0.2111111111,440.6662,-0.035026015,0.2798479317,427.7250,0.01695402679,0.06968451404,7,0.1667,-0.2222,4,-0.5556,-0.6667,8,-0.3333,-0.3846,10,0,0.0000,NULL,NULL,NULL,41.0000,-17.5,-9.0000,0.9888,-0.02363308535,0.02070591917,0.4286,-0.07142857143,0.2063492063,NULL,NULL,NULL,0.2500,-0.1944444444,0,"Austin, TX",12420,2025-08-01 14:37:32.7980000 +00:00,9424
2015-11-01,2016-01-31,90,neighborhood,1,110488,0,"San Mateo, CA - North B-Tilton Avenue",San Mateo,California,CA,All Residential,-1,515000.0000,-0.06871609403,NULL,599000.0000,-0.1430615165,NULL,476.6228,-0.05541309922,NULL,553.4130,-0.09198205301,NULL,6,-0.2500,NULL,3,-0.5000,NULL,2,-0.3333,NULL,2,NULL,NULL,NULL,NULL,NULL,94.0000,40,NULL,0.9665,-0.0385456926,NULL,0.3333,-0.1666666667,NULL,NULL,NULL,NULL,0.0000,-0.1666666667,NULL,"San Francisco, CA",41884,2025-08-01 14:37:32.7980000 +00:00,9425
2020-10-01,2020-12-31,90,neighborhood,1,109388,0,"Larkspur, CA - Greenbrae East",Larkspur,California,CA,Single Family Residential,6,850000.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0.0000,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,478.0000,NULL,NULL,0.8509,NULL,NULL,0.0000,NULL,NULL,NULL,NULL,NULL,0.0000,NULL,NULL,"San Rafael, CA",42034,2025-08-01 14:37:32.7980000 +00:00,9426
2018-05-01,2018-07-31,90,neighborhood,1,551657,0,"Olga, FL - River Hall",Olga,Florida,FL,All Residential,-1,233587.5000,0.1034152909,0.1108403082,250495.0000,-0.02432801929,0.1274290279,123.1270,0,0.05370904112,124.4936,-0.01422858945,0.06583197021,26,-0.2121,-0.0370,17,-0.3929,-0.4516,16,0.2308,0.0000,26,0.08333333333,-0.0370,NULL,NULL,NULL,116.0000,24,-31.0000,0.9737,0.001561478853,-0.006430377648,0.0385,0.008158508159,0.03846153846,NULL,NULL,NULL,0.0000,0,-0.03225806452,"Cape Coral, FL",15980,2025-08-01 14:37:32.7980000 +00:00,9427
2015-02-01,2015-04-30,90,neighborhood,1,766035,0,"Los Angeles, CA - Pacoima Town Center",Los Angeles,California,CA,All Residential,-1,355000.0000,0.03953147877,0.2553063213,322500.0000,-0.07593123209,-0.02183803458,243.5897,-0.005083884087,0.05435489249,321.2640,0.09410750883,0.2539303106,9,0.1250,0.5000,15,0.0714,0.1538,16,0.7778,-0.2727,5,0.6666666667,-0.6667,NULL,NULL,NULL,43.0000,16,21.0000,0.9926,0.008333862914,0.003868875887,0.3333,0.08333333333,0,NULL,NULL,NULL,0.3333,0.2619047619,0.1025641026,"Los Angeles, CA",31084,2025-08-01 14:37:32.7980000 +00:00,9428
2020-10-01,2020-12-31,90,neighborhood,1,557363,0,"Golden Valley, MN - Downtown Golden Valley",Golden Valley,Minnesota,MN,Townhouse,13,297000.0000,0.0276816609,0.1092436975,284900.0000,-0.03390979993,0.003345659447,193.9374,0.06028069637,0.1031038616,192.2164,0.0154485768,0.07091828045,3,0.0000,0.5000,3,0.0000,2.0000,2,-0.5000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,27.0000,16,3.5000,0.9826,-0.003223296654,-0.01948847133,0.0000,0,-0.5,NULL,NULL,NULL,0.0000,-0.3333333333,0,"Minneapolis, MN",33460,2025-08-01 14:37:32.7980000 +00:00,9429
2023-07-01,2023-09-30,90,neighborhood,1,549517,0,"Palm Springs, FL - Lake Worth Corridor",Palm Springs,Florida,FL,Single Family Residential,6,329500.0000,-0.0558739255,-0.1154362416,386900.0000,0,0.03324876486,300.6429,0.04503477295,-0.06791558231,321.3508,0.006724882064,0.1365680551,12,0.7143,-0.1429,16,0.4545,-0.1111,17,0.3077,-0.0556,10,-0.1666666667,-0.2857,NULL,NULL,NULL,22.5000,-1.5,-20.0000,0.9891,-0.01488261657,-0.006859571815,0.4167,-0.0119047619,-0.0119047619,NULL,NULL,NULL,0.5000,-0.04545454545,-0.05555555556,"West Palm Beach, FL",48424,2025-08-01 14:37:32.7980000 +00:00,9430
2019-02-01,2019-04-30,90,neighborhood,1,94466,0,"St. Louis, MO - DeBaliviere Place",St. Louis,Missouri,MO,Condo/Co-op,3,126000.0000,-0.08363636364,-0.00198019802,171000.0000,-0.03607666291,0.3179190751,121.2500,-0.04706481481,-0.06289362639,139.1524,0.03948699421,-0.01982266588,13,0.0000,-0.0714,NULL,NULL,NULL,26,0.6250,-0.1875,20,0.6666666667,-0.3333,NULL,NULL,NULL,109.5000,-3.5,56.5000,0.9637,0.01074932731,0.003216144915,0.0769,0.07692307692,-0.06593406593,NULL,NULL,NULL,0.4615,0.1415384615,-0.1538461538,"St. Louis, MO",41180,2025-08-01 14:37:32.7980000 +00:00,9431
2018-03-01,2018-05-31,90,neighborhood,1,104571,0,"Phoenix, AZ - Coronado",Phoenix,Arizona,AZ,Townhouse,13,155000.0000,0,NULL,155000.0000,0,NULL,130.4714,0,NULL,130.4714,0,NULL,1,0.0000,NULL,1,0.0000,NULL,1,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.0000,0,NULL,1.0000,0,NULL,0.0000,0,NULL,NULL,NULL,NULL,1.0000,0,NULL,"Phoenix, AZ",38060,2025-08-01 14:37:32.7980000 +00:00,9432
2013-08-01,2013-10-31,90,neighborhood,1,62640,0,"Danville, CA - Crow Canyon Country Club",Danville,California,CA,Townhouse,13,680000.0000,0,0.3064361191,637475.0000,-0.07605623596,0.2144694227,362.7600,-0.02359919771,0.06421137006,367.8209,0.0104533259,0.05622676173,3,-0.4000,-0.7000,5,0.0000,-0.6875,4,0.0000,-0.7895,2,0,-0.7500,NULL,NULL,NULL,6.0000,-3,-9.5000,1.0074,-0.0173816645,0.01340283661,0.6667,-0.1333333333,0.3666666667,NULL,NULL,NULL,0.4000,-0.2,-0.0375,"Oakland, CA",36084,2025-08-01 14:37:32.7980000 +00:00,9433
2025-04-01,2025-06-30,90,neighborhood,1,479241,0,"Santa Fe, NM - The Village at Rancho Viejo",Santa Fe,New Mexico,NM,Townhouse,13,420000.0000,0,NULL,NULL,NULL,NULL,321.5926,0,NULL,NULL,NULL,NULL,1,0.0000,NULL,1,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70.0000,0,NULL,0.9333,0,NULL,0.0000,0,NULL,NULL,NULL,NULL,0.0000,0,NULL,"Santa Fe, NM",42140,2025-08-01 14:37:32.7980000 +00:00,9434
2018-05-01,2018-07-31,90,neighborhood,1,61708,0,"Taunton, MA - Elliotts Corner",Taunton,Massachusetts,MA,Multi-Family (2-4 Unit),4,320000.0000,0,NULL,NULL,NULL,NULL,178.5714,0,NULL,NULL,NULL,NULL,1,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.0000,0,NULL,1.0670,0,NULL,1.0000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Providence, RI",39300,2025-08-01 14:37:32.7980000 +00:00,9435
2013-12-01,2014-02-28,90,neighborhood,1,548890,0,"Hollywood, FL - Us 441-Sr 7 Corridor",Hollywood,Florida,FL,All Residential,-1,118000.0000,0.1243449262,0.4984126984,129900.0000,0.0392,0.3003003003,107.4035,0.0529759349,0.4267714672,113.1321,0.1056302702,0.2063782234,69,0.1500,0.0147,86,0.0886,0.3231,86,-0.0947,NULL,99,0.0206185567,NULL,NULL,NULL,NULL,50.5000,3.5,NULL,0.9683,-0.0032025518,0.03553039872,0.2174,-0.03260869565,-0.003196930946,NULL,NULL,NULL,0.1628,-0.0144244922,0.1627906977,"Fort Lauderdale, FL",22744,2025-08-01 14:37:32.7980000 +00:00,9436
2022-12-01,2023-02-28,90,neighborhood,1,114503,0,"Escondido, CA - Cloverdale",Escondido,California,CA,All Residential,-1,931000.0000,-0.004278074866,-0.069,975000.0000,0.02415966387,0.02739726027,400.4303,0.1079285772,0.0008823378461,358.5877,-0.04533623462,-0.1261217359,2,-0.3333,-0.7143,3,-0.4000,-0.5714,1,-0.5000,-0.8889,2,-0.3333333333,-0.3333,NULL,NULL,NULL,36.0000,24,23.0000,0.9931,0.03393926188,-0.05168108548,0.0000,0,-0.8571428571,NULL,NULL,NULL,0.3333,-0.06666666667,-0.5238095238,"San Diego, CA",41740,2025-08-01 14:37:32.7980000 +00:00,9437
2025-02-01,2025-04-30,90,neighborhood,1,317593,0,"Fresno, CA - Huntington Homes Park",Fresno,California,CA,All Residential,-1,345000.0000,NULL,NULL,324990.0000,NULL,NULL,181.1975,NULL,NULL,170.6880,NULL,NULL,1,0.0000,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.0000,NULL,NULL,1.0616,NULL,NULL,1.0000,NULL,NULL,NULL,NULL,NULL,1.0000,NULL,NULL,"Fresno, CA",23420,2025-08-01 14:37:32.7980000 +00:00,9438
2015-10-01,2015-12-31,90,neighborhood,1,109435,0,"Elk Grove, CA - Laguna West",Elk Grove,California,CA,All Residential,-1,357500.0000,-0.02721088435,0.125984252,374900.0000,-0.03051461081,0.04428969359,180.5769,0.000144001786,0.05452616927,179.6690,-0.007157218889,0.009074162092,32,0.1429,0.3333,30,-0.1667,0.0714,25,-0.2647,0.0000,16,0.3333333333,0.0000,NULL,NULL,NULL,31.0000,1,7.0000,0.9897,0.0005427415687,0.01731799817,0.3125,-0.008928571429,0.1458333333,NULL,NULL,NULL,0.3333,-0.02777777778,-0.02380952381,"Sacramento, CA",40900,2025-08-01 14:37:32.7980000 +00:00,9439
2022-06-01,2022-08-31,90,neighborhood,1,395943,0,"Fort Lauderdale, FL - Beach Way Heights",Fort Lauderdale,Florida,FL,Townhouse,13,1725000.0000,0.04545454545,1.464285714,1610000.0000,-0.1030640669,0.7908787542,558.6364,0.1234021722,0.5992962556,499.8448,-0.05014749263,0.3051812564,2,-0.5000,1.0000,1,-0.5000,-0.5000,5,0.6667,0.0000,4,1,0.0000,NULL,NULL,NULL,24.0000,13,-16.0000,0.9738,-0.01144999891,-0.0333707625,0.5000,0,-0.5,NULL,NULL,NULL,1.0000,0.5,0,"Fort Lauderdale, FL",22744,2025-08-01 14:37:32.7980000 +00:00,9440
2023-10-01,2023-12-31,90,neighborhood,1,2293,0,"Baltimore, MD - Riverside",Baltimore,Maryland,MD,Townhouse,13,389000.0000,-0.002564102564,0.1146131805,389000.0000,0,-0.2044989775,235.5851,-0.04118515604,-0.04400253119,242.3513,0.01998307273,-0.0774756811,28,0.3333,-0.2821,26,-0.0714,-0.2571,30,-0.1429,0.3043,20,-0.2307692308,-0.0909,NULL,NULL,NULL,32.0000,-1.5,-12.0000,0.9955,-0.002079722614,0.01320202053,0.3571,0.02380952381,0.1776556777,NULL,NULL,NULL,0.3846,-0.1510989011,0.1846153846,"Baltimore, MD",12580,2025-08-01 14:37:32.7980000 +00:00,9441
2018-05-01,2018-07-31,90,neighborhood,1,350466,0,"Laupahoehoe, HI - North Hilo",Laupahoehoe,Hawaii,HI,Single Family Residential,6,385000.0000,-0.2955169259,-0.1666666667,585000.0000,0.3700234192,-0.04333605887,250.6510,0.03224637681,-0.1376391537,308.0140,0.1702749452,-0.4123976409,5,0.0000,-0.1667,14,0.5556,6.0000,6,0.0000,0.0000,14,-0.1764705882,0.0769,NULL,NULL,NULL,203.0000,32,56.5000,0.9239,0.002304908363,-0.04138188426,0.2000,0.2,0.2,NULL,NULL,NULL,0.0714,-0.03968253968,-0.4285714286,"Hilo, HI",25900,2025-08-01 14:37:32.7980000 +00:00,9442
2022-02-01,2022-04-30,90,neighborhood,1,156449,0,"Philadelphia, PA - Torresdale",Philadelphia,Pennsylvania,PA,Single Family Residential,6,363700.0000,0.08002969562,0.1367401156,389000.0000,-0.01494049126,0.1517394523,224.1114,0.1454300448,0.2701384096,222.8000,-0.02901301997,0.0815303711,14,0.0000,-0.4167,19,0.3571,-0.2400,29,0.6111,0.3182,14,0.4,0.4000,NULL,NULL,NULL,29.5000,5.5,-12.5000,1.0395,0.008069770923,0.04202627448,0.4286,0,0.1785714286,NULL,NULL,NULL,0.8421,-0.01503759398,0.2421052632,"Philadelphia, PA",37964,2025-08-01 14:37:32.7980000 +00:00,9443
2023-02-01,2023-04-30,90,neighborhood,1,120007,0,"Torrance, CA - Pacific South Bay",Torrance,California,CA,All Residential,-1,1462500.0000,0.04464285714,-0.1082317073,1295000.0000,0,-0.2377869335,851.3958,0.004038877322,-0.134587341,784.3731,0,-0.05477905445,2,1.0000,1.0000,2,0.0000,-0.3333,1,0.0000,-0.7500,NULL,NULL,NULL,NULL,NULL,NULL,75.5000,65.5,64.5000,1.0405,-0.04054054054,-0.1103366524,0.5000,-0.5,-0.5,NULL,NULL,NULL,0.5000,0,-0.5,"Los Angeles, CA",31084,2025-08-01 14:37:32.7980000 +00:00,9444
2021-01-01,2021-03-31,90,neighborhood,1,430231,0,"Burton, MI - Durant Heights",Burton,Michigan,MI,Single Family Residential,6,57500.0000,0.01769911504,0.06481481481,63310.0000,-0.02598501515,0.6770860927,76.5968,0.264335044,0.5235018228,87.4912,0.02614681277,0.3600031573,4,1.0000,0.0000,4,0.0000,0.3333,6,0.2000,2.0000,2,1,1.0000,NULL,NULL,NULL,22.0000,-19,-55.5000,0.9907,0.02915160451,0.004302696669,0.2500,0.25,0.25,NULL,NULL,NULL,0.7500,-0.25,0.08333333333,"Flint, MI",22420,2025-08-01 14:37:32.7980000 +00:00,9445
2022-12-01,2023-02-28,90,neighborhood,1,548722,0,"Houston, TX - Lakeland Village",Houston,Texas,TX,All Residential,-1,470000.0000,-0.1039084843,0.0284463895,499995.0000,0,0.04721960415,169.7214,-0.003189291469,0.06902445062,184.1136,-0.009370941237,0.09659206179,23,0.0455,-0.2581,24,0.0909,-0.3684,33,0.1379,0.1000,18,0,8.0000,NULL,NULL,NULL,24.0000,-6.5,10.5000,0.9747,0.004744896656,-0.0337662727,0.0870,0.04150197628,-0.4291725105,NULL,NULL,NULL,0.3750,0.05681818182,-0.2302631579,"Houston, TX",26420,2025-08-01 14:37:32.7980000 +00:00,9446
2014-06-01,2014-08-31,90,neighborhood,1,161579,0,"Olathe, KS - North Ridge",Olathe,Kansas,KS,All Residential,-1,98000.0000,-0.02487562189,-0.08837209302,117975.0000,-0.016875,0.0725,57.3770,0,-0.2517564403,89.5134,0.1890077115,0.1445530767,5,-0.1667,-0.4444,NULL,NULL,NULL,8,0.1429,0.1429,NULL,NULL,NULL,NULL,NULL,NULL,89.0000,-8.5,-9.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0,0,"Kansas City, MO",28140,2025-08-01 14:37:32.7980000 +00:00,9447
